classification;digit;code;OJI;OPI;OSI;CAI
isco88;4;4213;5;5;9;7
isco88;4;4215;5;4;8;6
isco88;4;4221;4;4;7;5
isco88;4;4222;3;4;5;4
isco88;4;4223;4;3;9;2
isco88;4;5111;10;9;10;7
isco88;4;5112;9;7;10;5
isco88;4;5113;10;8;10;7
isco88;4;5121;7;7;7;8
isco88;4;5122;9;8;9;8
isco88;4;5123;9;8;10;10
isco88;4;5131;5;6;6;3
isco88;4;5132;6;6;6;5
isco88;4;5133;7;6;8;6
isco88;4;5139;5;6;5;6
isco88;4;5141;5;7;4;9
isco88;4;5143;7;6;8;8
isco88;4;5149;7;7;8;9
isco88;4;5161;10;10;10;10
isco88;4;5162;6;5;9;7
isco88;4;5163;5;5;9;7
isco88;4;5169;9;7;10;8
isco88;4;5220;6;6;7;5
isco88;4;5250;9;7;9;8
isco88;4;6100;7;7;4;8
isco88;4;6111;8;9;4;8
isco88;4;6112;8;9;3;8
isco88;4;6121;10;10;8;8
isco88;4;6122;8;9;6;9
isco88;4;6129;8;9;6;8
isco88;4;6141;9;10;2;9
isco88;4;6150;9;10;3;8
isco88;4;7111;10;10;6;10
isco88;4;7112;9;10;4;10
isco88;4;7113;9;10;2;10
isco88;4;7122;9;10;1;10
isco88;4;7123;9;10;3;10
isco88;4;7124;9;10;3;10
isco88;4;7129;9;10;3;10
isco88;4;7131;10;10;4;10
isco88;4;7132;10;10;4;10
isco88;4;7133;9;10;3;10
isco88;4;7134;10;10;5;10
isco88;4;7135;8;10;3;9
isco88;4;7136;10;10;5;9
isco88;4;7137;8;9;5;9
isco88;4;7139;10;10;6;10
isco88;4;7141;9;10;5;10
isco88;4;7143;8;9;5;9
isco88;4;7211;10;10;8;10
isco88;4;7212;10;10;8;10
isco88;4;7213;9;10;8;10
isco88;4;7214;10;10;5;10
isco88;4;7215;7;8;6;10
isco88;4;7216;10;10;8;10
isco88;4;7221;9;10;8;9
isco88;4;7222;7;8;6;8
isco88;4;7223;9;9;9;8
isco88;4;7224;7;8;5;9
isco88;4;7231;10;10;8;9
isco88;4;7232;9;9;8;9
isco88;4;7233;8;9;6;9
isco88;4;7241;7;7;7;8
isco88;4;7242;5;5;7;7
isco88;4;7244;5;6;5;7
isco88;4;7245;6;7;6;8
isco88;4;7311;4;5;3;10
isco88;4;7312;5;8;3;10
isco88;4;7313;5;6;3;10
isco88;4;7321;8;9;6;10
isco88;4;7322;8;9;8;10
isco88;4;7324;6;7;5;10
isco88;4;7341;6;6;8;8
isco88;4;7343;6;6;7;8
isco88;4;7344;5;5;8;8
isco88;4;7345;9;8;10;8
isco88;4;7346;9;9;10;9
isco88;4;7411;8;9;7;8
isco88;4;7412;8;8;8;10
isco88;4;7413;8;7;8;9
isco88;4;7416;9;9;8;10
isco88;4;7422;8;9;5;10
isco88;4;7423;8;9;7;9
isco88;4;7431;5;7;4;8
isco88;4;7432;5;6;4;7
isco88;4;7433;4;4;4;7
isco88;4;7434;5;7;4;8
isco88;4;7436;4;5;4;8
isco88;4;7437;4;6;2;8
isco88;4;7442;8;10;4;10
isco88;4;8111;7;6;8;9
isco88;4;8112;7;6;8;10
isco88;4;8113;7;7;8;10
isco88;4;8121;10;10;10;10
isco88;4;8122;10;10;10;10
isco88;4;8123;9;9;9;10
isco88;4;8124;10;9;10;10
isco88;4;8131;8;9;8;10
isco88;4;8141;8;9;6;10
isco88;4;8142;8;8;9;10
isco88;4;8143;9;9;9;9
isco88;4;8152;7;7;7;8
isco88;4;8159;8;8;9;9
isco88;4;8161;7;7;8;9
isco88;4;8162;9;8;9;9
isco88;4;8163;7;8;7;9
isco88;4;8211;8;9;8;9
isco88;4;8212;10;10;9;10
isco88;4;8221;9;8;10;8
isco88;4;8223;10;10;8;10
isco88;4;8229;7;7;7;8
isco88;4;8231;8;8;9;10
isco88;4;8232;9;9;9;9
isco88;4;8240;9;8;10;8
isco88;4;8252;10;9;10;10
isco88;4;8253;8;7;9;9
isco88;4;8261;10;10;10;10
isco88;4;8262;9;8;9;10
isco88;4;8264;8;8;9;9
isco88;4;8266;9;8;9;10
isco88;4;8269;8;8;9;9
isco88;4;8271;8;7;9;8
isco88;4;8272;8;8;9;8
isco88;4;8273;8;7;9;8
isco88;4;8274;9;7;10;8
isco88;4;8275;10;9;10;9
isco88;4;8276;8;7;9;8
isco88;4;8278;9;8;10;8
isco88;4;8279;9;8;10;9
isco88;4;8281;8;7;10;8
isco88;4;8282;7;5;9;8
isco88;4;8284;7;5;10;8
isco88;4;8290;10;9;10;9
isco88;4;8311;8;6;10;6
isco88;4;8312;7;5;10;4
isco88;4;8322;5;6;8;6
isco88;4;8323;7;5;10;7
isco88;4;8324;7;7;9;7
isco88;4;8332;9;10;8;10
isco88;4;8333;9;8;10;8
isco88;4;8334;6;7;7;9
isco88;4;8340;9;9;9;7
isco88;4;9111;8;8;9;7
isco88;4;9131;7;7;6;7
isco88;4;9132;9;9;9;8
isco88;4;9141;6;7;4;7
isco88;4;9142;9;9;7;8
isco88;4;9151;9;7;10;4
isco88;4;9152;5;5;9;6
isco88;4;9161;9;10;7;8
isco88;4;9162;9;10;8;8
isco88;4;9211;7;8;5;9
isco88;4;9311;9;10;4;9
isco88;4;9313;8;10;1;9
isco88;4;9320;8;8;8;7
isco88;4;9330;7;8;6;7
kldb92;2;1;7;9;4;9
kldb92;2;2;9;9;7;9
kldb92;2;3;5;5;6;7
kldb92;2;5;6;8;2;6
kldb92;2;6;7;9;3;7
kldb92;2;7;10;10;9;10
kldb92;2;8;7;8;6;9
kldb92;2;10;9;10;3;10
kldb92;2;11;10;10;9;10
kldb92;2;12;9;10;7;10
kldb92;2;13;9;9;8;10
kldb92;2;14;8;8;8;8
kldb92;2;15;9;9;9;10
kldb92;2;16;9;9;9;9
kldb92;2;17;7;8;9;8
kldb92;2;18;7;9;4;10
kldb92;2;19;10;10;10;10
kldb92;2;20;10;10;9;10
kldb92;2;21;8;9;7;9
kldb92;2;22;10;9;10;10
kldb92;2;23;10;10;8;10
kldb92;2;24;8;9;7;10
kldb92;2;25;10;10;5;10
kldb92;2;26;9;10;4;10
kldb92;2;27;10;10;8;9
kldb92;2;28;9;9;8;9
kldb92;2;29;7;8;8;8
kldb92;2;30;4;5;2;9
kldb92;2;31;6;7;6;8
kldb92;2;32;7;8;9;8
kldb92;2;33;10;9;9;10
kldb92;2;34;7;8;7;8
kldb92;2;35;5;5;4;7
kldb92;2;36;5;4;6;7
kldb92;2;37;9;10;4;10
kldb92;2;39;9;8;9;9
kldb92;2;40;8;9;6;7
kldb92;2;41;9;9;8;9
kldb92;2;42;10;9;10;10
kldb92;2;43;9;9;9;8
kldb92;2;44;9;10;2;10
kldb92;2;46;10;10;6;10
kldb92;2;47;7;10;2;9
kldb92;2;48;10;10;3;10
kldb92;2;49;6;9;4;9
kldb92;2;50;10;10;8;10
kldb92;2;51;10;10;7;10
kldb92;2;52;7;8;8;7
kldb92;2;53;9;9;10;8
kldb92;2;54;9;9;10;9
kldb92;2;55;9;9;8;8
kldb92;2;60;2;3;2;5
kldb92;2;61;3;4;2;6
kldb92;2;62;4;4;2;6
kldb92;2;63;5;7;4;8
kldb92;2;64;1;3;1;4
kldb92;2;65;5;5;6;7
kldb92;2;66;7;6;6;5
kldb92;2;67;4;4;3;3
kldb92;2;68;4;4;4;4
kldb92;2;69;1;2;2;2
kldb92;2;70;3;3;6;4
kldb92;2;71;8;7;10;7
kldb92;2;72;9;8;10;6
kldb92;2;73;6;5;8;5
kldb92;2;74;8;8;9;7
kldb92;2;75;2;1;3;1
kldb92;2;76;2;1;3;1
kldb92;2;77;3;1;4;1
kldb92;2;78;1;2;1;2
kldb92;2;79;7;7;9;7
kldb92;2;80;9;8;10;8
kldb92;2;81;3;2;4;2
kldb92;2;82;3;3;4;4
kldb92;2;83;5;5;7;6
kldb92;2;84;7;6;9;6
kldb92;2;85;6;6;7;5
kldb92;2;86;5;5;6;4
kldb92;2;87;4;4;5;3
kldb92;2;88;2;3;1;3
kldb92;2;89;5;4;8;2
kldb92;2;90;5;6;4;9
kldb92;2;91;8;7;10;8
kldb92;2;92;6;7;4;7
kldb92;2;93;10;9;9;9
kldb92;2;97;4;4;4;7
kldb92;2;98;3;4;4;7
kldb92;2;99;4;5;2;5
kldb92;3;11;7;8;4;9
kldb92;3;12;7;8;4;9
kldb92;3;13;8;9;5;10
kldb92;3;14;7;8;5;9
kldb92;3;23;9;9;7;9
kldb92;3;24;8;9;7;9
kldb92;3;31;6;5;7;7
kldb92;3;32;4;4;5;7
kldb92;3;51;8;9;2;7
kldb92;3;52;4;5;1;6
kldb92;3;53;6;7;3;5
kldb92;3;61;5;7;3;7
kldb92;3;62;8;10;2;8
kldb92;3;70;10;10;8;10
kldb92;3;71;10;10;8;10
kldb92;3;72;10;10;9;10
kldb92;3;80;6;8;5;10
kldb92;3;101;9;10;2;10
kldb92;3;112;10;10;9;10
kldb92;3;121;9;10;6;10
kldb92;3;131;10;10;9;10
kldb92;3;135;7;9;6;10
kldb92;3;141;8;7;9;8
