classification;digit;code;OJI;OPI;OSI;HWI;CAI
isco08;4;4413;4;4;6;4;3
isco08;4;4415;3;3;3;5;4
isco08;4;4416;2;1;3;1;1
isco08;4;4419;1;1;1;3;1
isco08;4;5111;10;9;10;8;8
isco08;4;5112;9;7;10;5;7
isco08;4;5113;7;6;10;6;8
isco08;4;5120;8;8;7;9;8
isco08;4;5131;7;7;10;6;7
isco08;4;5132;8;7;9;6;9
isco08;4;5141;7;7;4;3;10
isco08;4;5142;6;6;6;4;8
isco08;4;5151;7;7;6;7;8
isco08;4;5152;7;6;7;5;8
isco08;4;5153;6;7;3;8;7
isco08;4;5163;7;6;8;6;7
isco08;4;5164;7;9;6;8;8
isco08;4;5165;6;6;7;5;8
isco08;4;5211;8;7;8;9;6
isco08;4;5212;5;5;6;7;4
isco08;4;5222;5;4;7;5;6
isco08;4;5223;5;5;5;7;4
isco08;4;5230;7;5;10;6;5
isco08;4;5242;5;4;9;5;6
isco08;4;5244;4;4;7;3;4
isco08;4;5245;8;7;9;7;8
isco08;4;5246;7;7;9;6;7
isco08;4;5249;5;4;9;5;6
isco08;4;5311;6;6;8;5;3
isco08;4;5312;6;6;7;6;4
isco08;4;5321;9;8;10;10;4
isco08;4;5322;7;7;8;7;6
isco08;4;5329;6;5;9;7;5
isco08;4;5411;10;10;10;9;10
isco08;4;5412;6;5;9;5;7
isco08;4;5413;6;5;10;5;8
isco08;4;5414;7;5;10;4;6
isco08;4;5419;8;7;10;4;8
isco08;4;6111;6;7;4;9;8
isco08;4;6113;10;10;6;10;8
isco08;4;6121;9;9;7;8;9
isco08;4;6130;9;9;7;9;9
isco08;4;6210;10;10;2;9;10
isco08;4;7111;10;10;2;10;10
isco08;4;7112;10;10;2;10;10
isco08;4;7113;10;10;2;10;10
isco08;4;7114;10;10;3;10;10
isco08;4;7115;10;10;6;10;10
isco08;4;7119;10;10;3;10;10
isco08;4;7121;10;10;3;10;10
isco08;4;7122;10;10;1;10;10
isco08;4;7123;10;10;2;10;10
isco08;4;7124;9;10;2;10;10
isco08;4;7125;9;10;2;10;10
isco08;4;7126;10;10;5;10;10
isco08;4;7127;9;10;2;10;10
isco08;4;7131;10;10;3;10;10
isco08;4;7132;10;10;6;8;10
isco08;4;7133;9;10;3;9;10
isco08;4;7211;10;10;7;9;10
isco08;4;7212;10;10;7;9;10
isco08;4;7213;8;9;4;7;10
isco08;4;7214;9;10;3;9;10
isco08;4;7221;9;10;7;8;10
isco08;4;7222;7;9;6;7;10
isco08;4;7223;9;9;8;6;9
isco08;4;7224;7;8;5;5;8
isco08;4;7231;10;10;8;8;9
isco08;4;7232;10;10;7;5;9
isco08;4;7233;8;9;4;9;9
isco08;4;7234;7;7;7;5;8
isco08;4;7311;5;6;3;5;8
isco08;4;7312;7;7;6;5;8
isco08;4;7313;6;7;4;4;8
isco08;4;7315;8;9;7;9;9
isco08;4;7316;7;8;5;5;9
isco08;4;7317;6;7;5;7;9
isco08;4;7321;4;4;6;4;6
isco08;4;7322;10;10;9;9;10
isco08;4;7323;10;9;10;9;9
isco08;4;7411;8;9;4;8;9
isco08;4;7412;8;9;5;8;9
isco08;4;7413;8;9;4;8;10
isco08;4;7421;4;6;2;5;8
isco08;4;7422;5;5;3;5;6
isco08;4;7511;10;9;10;10;6
isco08;4;7512;10;9;10;10;10
isco08;4;7513;9;9;10;10;8
isco08;4;7522;8;9;3;10;10
isco08;4;7523;9;9;8;10;10
isco08;4;7531;5;6;3;5;8
isco08;4;7533;7;8;5;8;10
isco08;4;7534;7;7;5;7;9
isco08;4;7536;7;8;4;5;9
isco08;4;7542;9;9;8;9;8
isco08;4;7543;6;6;7;6;7
isco08;4;7549;8;7;8;9;7
isco08;4;8111;10;10;8;7;10
isco08;4;8112;9;10;8;9;10
isco08;4;8113;9;10;8;6;10
isco08;4;8114;10;10;9;9;10
isco08;4;8121;10;10;10;8;10
isco08;4;8122;10;10;10;8;10
isco08;4;8131;9;9;9;7;10
isco08;4;8132;9;8;9;7;9
isco08;4;8141;9;9;10;7;10
isco08;4;8142;8;9;8;8;10
isco08;4;8143;10;9;10;9;10
isco08;4;8151;10;9;10;8;10
isco08;4;8152;10;10;10;7;10
isco08;4;8153;9;9;9;8;9
isco08;4;8154;8;9;8;9;10
isco08;4;8157;9;9;9;8;9
isco08;4;8160;9;9;10;9;9
isco08;4;8171;9;9;10;7;10
isco08;4;8172;9;10;9;9;10
isco08;4;8181;10;10;10;6;10
isco08;4;8182;9;9;10;6;10
isco08;4;8183;10;10;10;10;10
isco08;4;8189;9;9;10;6;9
isco08;4;8211;8;9;8;9;8
isco08;4;8212;7;7;8;6;8
isco08;4;8219;9;8;9;9;6
isco08;4;8311;10;9;10;5;8
isco08;4;8312;9;8;10;4;6
isco08;4;8322;7;6;9;8;5
isco08;4;8331;8;5;10;3;6
isco08;4;8332;7;8;7;8;7
isco08;4;8341;8;9;7;7;9
isco08;4;8342;9;10;4;9;10
isco08;4;8343;9;9;8;6;9
isco08;4;8344;7;7;8;7;8
isco08;4;8350;;8;;5;8
isco08;4;9111;7;6;7;5;7
isco08;4;9112;8;7;9;6;7
isco08;4;9122;9;9;8;9;10
isco08;4;9123;10;10;8;8;10
isco08;4;9129;10;10;9;10;10
isco08;4;9212;8;9;5;7;7
isco08;4;9213;8;9;3;9;8
isco08;4;9214;9;10;2;9;8
isco08;4;9215;8;10;3;9;9
isco08;4;9312;10;10;7;10;10
isco08;4;9313;10;10;7;10;10
isco08;4;9321;9;9;10;10;7
isco08;4;9329;8;8;9;6;9
isco08;4;9333;7;7;8;9;7
isco08;4;9334;8;7;9;8;6
isco08;4;9411;10;9;10;6;8
isco08;4;9412;9;8;9;7;8
isco08;4;9611;9;10;4;10;8
isco08;4;9612;5;6;3;5;6
isco08;4;9613;7;8;4;5;7
isco08;4;9621;7;6;10;8;4
isco08;4;9623;;;;5;6
isco08;4;9629;7;7;9;6;7
isco88;2;1;6;6;7;7;7
isco88;2;11;2;1;4;2;1
isco88;2;12;2;1;4;1;1
isco88;2;13;5;5;8;5;5
isco88;2;21;1;1;1;1;4
isco88;2;22;5;5;8;5;6
isco88;2;23;4;4;6;3;3
isco88;2;24;1;1;2;1;1
isco88;2;31;5;5;7;5;5
isco88;2;32;6;6;8;6;6
isco88;2;33;6;6;6;7;5
isco88;2;34;3;2;3;2;1
isco88;2;41;2;3;1;4;3
isco88;2;42;4;4;9;4;4
